Korean	Romanization	Romanization(No vowel)	English (No vowel)	English	Fuzzy Score
엄마	eom-ma	mm	mm	mom	100
데이트	de-i-teu	dt	dt	date	100
하하	ha-ha	hh	hh	haha	100
게임	ge-im	gm	gm	game	100
도도	do-do	dd	dd	dodo	100
드라마	deu-ra-ma	drm	drm	drama	100
타이밍	ta-i-ming	tmng	tmng	timing	100
밴드	baen-deu	bnd	bnd	band	100
버스	beo-seu	bs	bs	bus	100
프로그램	peu-ro-geu-raem	prgrm	prgrm	program	100
와인	wa-in	wn	wn	wine	100
그린	geu-rin	grn	grn	green	100
소주	so-ju	sj	sj	soju	100
피아노	pi-a-no	pn	pn	piano	100
아이템	a-i-tem	tm	tm	item	100
라디오	ra-di-o	rd	rd	radio	100
아이디어	a-i-di-eo	d	d	idea	100
장기	jang-gi	jngg	jngg	janggi	100
오픈	o-peun	pn	pn	open	100
테스트	te-seu-teu	tst	tst	test	100
포인트	po-in-teu	pnt	pnt	point	100
킹덤	king-deom	kngdm	kngdm	kingdom	100
팬더	paen-deo	pnd	pnd	panda	100
트리	teu-ri	tr	tr	tree	100
기생	gi-saeng	gsng	gsng	gisaeng	100
타임	ta-im	tm	tm	time	100
가스	ga-seu	gs	gs	gas	100
브랜드	beu-raen-deu	brnd	brnd	brand	100
마스크	ma-seu-keu	msk	msk	mask	100
에피소드	e-pi-so-deu	psd	psd	episode	100
파스타	pa-seu-ta	pst	pst	pasta	100
아하	a-ha	h	h	aha	100
랜드	raen-deu	rnd	rnd	rand	100
세트	se-teu	st	st	set	100
스테이크	seu-te-i-keu	stk	stk	steak	100
테이프	te-i-peu	tp	tp	tape	100
사우나	sa-u-na	sn	sn	sauna	100
메인	me-in	mn	mn	main	100
태주	tae-ju	tj	tj	taeju	100
트로트	teu-ro-teu	trt	trt	teuroteu	100
펜던트	pen-deon-teu	pndnt	pndnt	pendant	100
비트	bi-teu	bt	bt	beat	100
아리	a-ri	r	r	ari	100
사이트	sa-i-teu	st	st	site	100
다이어트	da-i-eo-teu	dt	dt	diet	100
데이터	de-i-teo	dt	dt	data	100
오메가	o-me-ga	mg	mg	omega	100
타이	ta-i	t	t	tie	100
센스	sen-seu	sns	sns	sense	100
승지	seung-ji	sngj	sngj	seungji	100
메모	me-mo	mm	mm	memo	100
냉면	naeng-myeon	nngmyn	nngmyn	naengmyeon	100
게스트	ge-seu-teu	gst	gst	guest	100
보너스	bo-neo-seu	bns	bns	bonus	100
마이너스	ma-i-neo-seu	mns	mns	minus	100
스킨	seu-kin	skn	skn	skin	100
오메	o-me	m	m	ome	100
다이아몬드	da-i-a-mon-deu	dmnd	dmnd	diamond	100
텐트	ten-teu	tnt	tnt	tent	100
힌트	hin-teu	hnt	hnt	hint	100
드럼	deu-reom	drm	drm	drum	100
브레이크	beu-re-i-keu	brk	brk	brake	100
판다	pan-da	pnd	pnd	panda	100
메두사	me-du-sa	mds	mds	medusa	100
푸드	pu-deu	pd	pd	pood	100
호르몬	ho-reu-mon	hrmn	hrmn	hormone	100
레드	re-deu	rd	rd	red	100
스키	seu-ki	sk	sk	ski	100
아멘	a-men	mn	mn	amen	100
페인트	pe-in-teu	pnt	pnt	paint	100
토마토	to-ma-to	tmt	tmt	tomato	100
오비	o-bi	b	b	obi	100
테잎	te-ip	tp	tp	tape	100
트렌드	teu-ren-deu	trnd	trnd	trend	100
고시원	go-si-weon	gswn	gswn	gosiwon	100
히트	hi-teu	ht	ht	hit	100
트레이닝	teu-re-i-ning	trnng	trnng	training	100
수라	su-ra	sr	sr	sura	100
웹툰	web-tun	wbtn	wbtn	webtoon	100
제임스	je-im-seu	jms	jms	james	100
탬버린	taem-beo-rin	tmbrn	tmbrn	tambourine	100
마우스	ma-u-seu	ms	ms	mouse	100
사운드	sa-un-deu	snd	snd	sound	100
모라	mo-ra	mr	mr	mora	100
요가	yo-ga	yg	yg	yoga	100
파이	pa-i	p	p	pie	100
루트	ru-teu	rt	rt	root	100
피아니스트	pi-a-ni-seu-teu	pnst	pnst	pianist	100
오디오	o-di-o	d	d	audio	100
룸메이트	rum-me-i-teu	rmmt	rmmt	roommate	100
저고리	jeo-go-ri	jgr	jgr	jeogori	100
씨름	ssi-reum	ssrm	ssrm	ssireum	100
요구르트	yo-gu-reu-teu	ygrt	ygrt	yogurt	100
세진	se-jin	sjn	sjn	sejin	100
바나나	ba-na-na	bnn	bnn	banana	100
보트	bo-teu	bt	bt	boat	100
가이드	ga-i-deu	gd	gd	guide	100
